@1200	5A		
SIM_4_1	geoSOM	00:39.1	
SIM_4_2	geoSOM	00:40.0	
SIM_4_3	geoSOM	00:40.5	
SIM_4_4	geoSOM	00:39.9	
SIM_4_5	geoSOM	00:38.6	
SIM_4_6	geoSOM	00:38.8	
SIM_4_7	geoSOM	00:38.9	
SIM_4_8	geoSOM	00:38.8	
SIM_4_9	geoSOM	00:38.9	
			
@1200 15A			
SIM_2_0	ARISEL	08:35.0	
SIM_2_0	AZP-TABU	14:41.5	
SIM_2_0	AZP	01:54.5	
SIM_2_0	AZP-SA	06:54.3	
SIM_2_1	ARISEL	09:55.3	
SIM_2_1	AZP-TABU	14:56.0	
SIM_2_1	AZP	01:09.4	
SIM_2_1	AZP-SA	04:40.6	
SIM_2_2	ARISEL	06:45.7	
SIM_2_2	AZP-TABU	12:23.5	
SIM_2_2	AZP	01:45.1	
SIM_2_2	AZP-SA	04:17.2	
SIM_2_3	ARISEL	07:01.9	
SIM_2_3	AZP-TABU	12:07.5	
SIM_2_3	AZP	00:48.0	
SIM_2_3	AZP-SA	05:23.5	
SIM_2_4	ARISEL	10:24.3	
SIM_2_4	AZP-TABU	26:40.2	
SIM_2_4	AZP	03:56.8	
SIM_2_4	AZP-SA	04:53.2	
SIM_2_5	ARISEL	13:00.8	
SIM_2_5	AZP-TABU	21:38.0	
SIM_2_5	AZP	01:34.8	
SIM_2_5	AZP-SA	05:30.4	
SIM_2_6	ARISEL	06:48.0	
SIM_2_6	AZP-TABU	23:26.5	
SIM_2_6	AZP	00:25.8	
SIM_2_6	AZP-SA	06:02.8	
SIM_2_7	ARISEL	11:42.9	
SIM_2_7	AZP-TABU	12:01.9	
SIM_2_7	AZP	01:39.4	
SIM_2_7	AZP-SA	04:33.8	
SIM_2_8	ARISEL	07:58.3	
SIM_2_8	AZP-TABU	08:07.7	
SIM_2_8	AZP	01:45.5	
SIM_2_8	AZP-SA	06:43.9	
SIM_2_9	ARISEL	14:12.0	
SIM_2_9	AZP-TABU	36:39.6	
SIM_2_9	AZP	01:33.6	
SIM_2_9	AZP-SA	09:18.7	
SIM_3_0	ARISEL	05:03.5	
SIM_3_0	AZP-TABU	11:53.0	
SIM_3_0	AZP	00:42.0	
SIM_3_0	AZP-SA	04:41.5	
SIM_3_1	ARISEL	06:18.0	
SIM_3_1	AZP-TABU	05:53.8	
SIM_3_1	AZP	00:48.6	
SIM_3_1	AZP-SA	04:55.4	
SIM_3_2	ARISEL	06:16.8	
SIM_3_2	AZP-TABU	20:34.3	
SIM_3_2	AZP	00:30.1	
SIM_3_2	AZP-SA	06:11.6	
